TEU,ETD,ETDYear,ETDMonth,ETDWeek,CustomerBECode,CustomerName,SeaAir
0.0115,2013-12-08,2013,12,49,BENIKE2,Nike,OCE
0.1800,2013-12-08,2013,12,49,BENIKE2,Nike,OCE
1.0000,2013-10-27,2013,10,43,BENIKE2,Nike,OCE
0.0180,2013-11-02,2013,11,44,BENIKE2,Nike,OCE
0.0169,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.1200,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.1161,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.4938,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.0608,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.2338,2013-11-16,2013,11,46,BENIKE2,Nike,OCE
0.1750,2013-11-30,2013,11,48,BENIKE2,Nike,OCE
0.0615,2013-12-26,2013,12,52,BENIKE2,Nike,OCE
0.1142,2013-11-23,2013,11,47,HKNIKEINTE,Nike,OCE
0.6924,2013-11-28,2013,11,48,USNIKEINTL,Nike,OCE
0.0176,2013-12-11,2013,12,50,BENIKE2,Nike,OCE
0.1122,2013-12-26,2013,12,52,BENIKE2,Nike,OCE
0.0115,2013-09-29,2013,9,39,BENIKE2,Nike,OCE
0.0200,2013-05-07,2013,5,19,BENIKE2,Nike,OCE
0.0777,2013-05-07,2013,5,19,BENIKE2,Nike,OCE
0.0719,2013-10-27,2013,10,43,BENIKE2,Nike,OCE
0.0096,2013-10-27,2013,10,43,BENIKE2,Nike,OCE
0.0637,2013-09-15,2013,9,37,BENIKE2,Nike,OCE
0.0123,2013-12-21,2013,12,51,SGLCLNIKE,Nike,OCE
0.1023,2013-12-21,2013,12,51,SGLCLNIKE,Nike,OCE
0.0138,2013-08-30,2013,8,35,BENIKE2,Nike,OCE
0.1238,2013-09-01,2013,9,35,BENIKE2,Nike,OCE
0.0450,2013-09-01,2013,9,35,BENIKE2,Nike,OCE
0.0615,2013-09-01,2013,9,35,BENIKE2,Nike,OCE
1.0973,2013-12-07,2013,12,49,BENIKE2,Nike,OCE
0.0875,2013-10-17,2013,10,42,ECFICCHUR,Nike,OCE
0.0700,2013-10-11,2013,10,41,BENIKE2,Nike,OCE
0.0385,2013-10-11,2013,10,41,BENIKE2,Nike,OCE
0.4535,2013-10-21,2013,10,43,BENIKE2,Nike,OCE
0.2810,2013-10-21,2013,10,43,BENIKE2,Nike,OCE
0.1600,2013-09-26,2013,9,39,BENIKE2,Nike,OCE
0.0115,2013-09-18,2013,9,38,BENIKE2,Nike,OCE
0.5305,2013-11-19,2013,11,47,BENIKE2,Nike,OCE
0.4708,2013-09-05,2013,9,36,ECFICCHUR,Nike,OCE
0.1995,2013-10-07,2013,10,41,BENIKE2,Nike,OCE
0.2456,2013-10-07,2013,10,41,BENIKE2,Nike,OCE
0.2693,2013-05-22,2013,5,21,BENIKE2,Nike,OCE
0.6665,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.0232,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.0562,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.0531,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.0881,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.0300,2013-09-07,2013,9,36,BENIKE2,Nike,OCE
0.5504,2013-05-10,2013,5,19,SGLCLNIKE,Nike,OCE
1.9488,2013-05-13,2013,5,20,MYLCLNIKE,Nike,OCE
0.0858,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.1119,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.4038,2013-05-26,2013,5,21,BENIKE2,Nike,OCE
0.0319,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.0932,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.1325,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.2115,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.0954,2013-05-21,2013,5,21,BENIKE2,Nike,OCE
0.2862,2013-09-28,2013,9,39,BENIKE2,Nike,OCE
1.1342,2013-11-19,2013,11,47,BENIKE2,Nike,OCE
0.0073,2013-12-01,2013,12,48,PANORTHINT,Nike,OCE
0.0173,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.3519,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.0062,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.0300,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.0746,2013-06-02,2013,6,22,BENIKE2,Nike,OCE
0.3820,2013-12-28,2013,12,52,BENIKE2,Nike,OCE
0.0377,2013-01-20,2013,1,3,BENIKE2,Nike,OCE
0.0269,2013-01-06,2013,1,1,BENIKE2,Nike,OCE
2.0000,2013-12-29,2013,12,52,BENIKE2,Nike,OCE
1.3333,2013-12-29,2013,12,52,BENIKE2,Nike,OCE
2.0000,2013-12-29,2013,12,52,BENIKE2,Nike,OCE
1.3535,2013-01-28,2013,1,5,MYLCLNIKE,Nike,OCE
0.9881,2013-01-28,2013,1,5,MYLCLNIKE,Nike,OCE
0.2338,2013-01-28,2013,1,5,MYLCLNIKE,Nike,OCE
2.0000,2013-05-17,2013,5,20,BENIKE2,Nike,OCE
